hanzi,hsk_pinyin,hsk_english
爱,一级,1
八,一级,1
爸爸,一级,1
杯子,一级,1
北京,一级,1
本,一级,1
不,一级,1
不客气,一级,1
菜,一级,1
茶,一级,1
吃,一级,1
出租车,一级,1
打电话,一级,1
大,一级,1
的,一级,1
点,一级,1
电脑,一级,1
电视,一级,1
电影,一级,1
东西,一级,1
都,一级,1
读,一级,1
对不起,一级,1
多,一级,1
多少,一级,1
儿子,一级,1
二,一级,1
饭店,一级,1
飞机,一级,1
分钟,一级,1
高兴,一级,1
个,一级,1
工作,一级,1
狗,一级,1
汉语,一级,1
好,一级,1
号,一级,1
喝,一级,1
和,一级,1
很,一级,1
后面,一级,1
回,一级,1
会,一级,1
几,一级,1
家,一级,1
叫,一级,1
今天,一级,1
九,一级,1
开,一级,1
看,一级,1
看见,一级,1
块,一级,1
来,一级,1
老师,一级,1
了,一级,1
冷,一级,1
里,一级,1
六,一级,1
妈妈,一级,1
吗,一级,1
买,一级,1
猫,一级,1
没关系,一级,1
没有,一级,1
米饭,一级,1
名字,一级,1
明天,一级,1
哪,一级,1
哪儿,一级,1
那,一级,1
呢,一级,1
能,一级,1
你,一级,1
年,一级,1
女儿,一级,1
朋友,一级,1
漂亮,一级,1
苹果,一级,1
七,一级,1
前面,一级,1
钱,一级,1
请,一级,1
去,一级,1
热,一级,1
人,一级,1
认识,一级,1
三,一级,1
商店,一级,1
上,一级,1
上午,一级,1
少,一级,1
谁,一级,1
什么,一级,1
十,一级,1
时候,一级,1
是,一级,1
书,一级,1
水,一级,1
水果,一级,1
睡觉,一级,1
说,一级,1
四,一级,1
岁,一级,1
他,一级,1
她,一级,1
太,一级,1
天气,一级,1
听,一级,1
同学,一级,1
喂,一级,1
我,一级,1
我们,一级,1
五,一级,1
喜欢,一级,1
下,一级,1
下午,一级,1
下雨,一级,1
先生,一级,1
现在,一级,1
想,一级,1
小,一级,1
小姐,一级,1
些,一级,1
写,一级,1
谢谢,一级,1
星期,一级,1
学生,一级,1
学习,一级,1
学校,一级,1
一,一级,1
一点儿,一级,1
衣服,一级,1
医生,一级,1
医院,一级,1
椅子,一级,1
有,一级,1
月,一级,1
再见,一级,1
在,一级,1
怎么,一级,1
怎么样,一级,1
这,一级,1
中国,一级,1
中午,一级,1
住,一级,1
桌子,一级,1
字,一级,1
昨天,一级,1
坐,一级,1
做,一级,1
吧,二级,2
白,二级,2
百,二级,2
帮助,二级,2
报纸,二级,2
比,二级,2
别,二级,2
宾馆,二级,2
长,二级,2
唱歌,二级,2
出,二级,2
穿,二级,2
次,二级,2
从,二级,2
错,二级,2
打篮球,二级,2
大家,二级,2
到,二级,2
得,二级,2
等,二级,2
弟弟,二级,2
第一,二级,2
懂,二级,2
对,二级,2
对,二级,2
房间,二级,2
非常,二级,2
服务员,二级,2
高,二级,2
告诉,二级,2
哥哥,二级,2
给,二级,2
公共汽车,二级,2
公司,二级,2
贵,二级,2
过,二级,2
还,二级,2
孩子,二级,2
好吃,二级,2
黑,二级,2
红,二级,2
火车站,二级,2
机场,二级,2
鸡蛋,二级,2
件,二级,2
教室,二级,2
姐姐,二级,2
介绍,二级,2
进,二级,2
近,二级,2
就,二级,2
觉得,二级,2
咖啡,二级,2
开始,二级,2
考试,二级,2
可能,二级,2
可以,二级,2
课,二级,2
快,二级,2
快乐,二级,2
累,二级,2
离,二级,2
两,二级,2
零,二级,2
路,二级,2
旅游,二级,2
卖,二级,2
慢,二级,2
忙,二级,2
每,二级,2
妹妹,二级,2
门,二级,2
面条,二级,2
男,二级,2
您,二级,2
牛奶,二级,2
女,二级,2
旁边,二级,2
跑步,二级,2
便宜,二级,2
票,二级,2
妻子,二级,2
起床,二级,2
千,二级,2
铅笔,二级,2
晴,二级,2
去年,二级,2
让,二级,2
日,二级,2
上班,二级,2
身体,二级,2
生病,二级,2
生日,二级,2
时间,二级,2
事情,二级,2
手表,二级,2
手机,二级,2
说话,二级,2
送,二级,2
虽然……但是……,二级,2
它,二级,2
踢足球,二级,2
题,二级,2
跳舞,二级,2
外,二级,2
完,二级,2
玩,二级,2
晚上,二级,2
往,二级,2
为什么,二级,2
问,二级,2
问题,二级,2
西瓜,二级,2
希望,二级,2
洗,二级,2
小时,二级,2
笑,二级,2
新,二级,2
姓,二级,2
休息,二级,2
雪,二级,2
颜色,二级,2
眼睛,二级,2
羊肉,二级,2
药,二级,2
要,二级,2
也,二级,2
一起,二级,2
一下,二级,2
已经,二级,2
意思,二级,2
因为……所以……,二级,2
阴,二级,2
游泳,二级,2
右边,二级,2
鱼,二级,2
远,二级,2
运动,二级,2
再,二级,2
早上,二级,2
丈夫,二级,2
找,二级,2
着,二级,2
真,二级,2
正在,二级,2
知道,二级,2
准备,二级,2
走,二级,2
最,二级,2
左边,二级,2
阿姨,三级,3
啊,三级,3
矮,三级,3
爱好,三级,3
安静,三级,3
把,三级,3
班,三级,3
搬,三级,3
办法,三级,3
办公室,三级,3
半,三级,3
帮忙,三级,3
包,三级,3
饱,三级,3
北方,三级,3
被,三级,3
鼻子,三级,3
比较,三级,3
比赛,三级,3
笔记本,三级,3
必须,三级,3
变化,三级,3
别人,三级,3
冰箱,三级,3
不但……而且……,三级,3
菜单,三级,3
参加,三级,3
草,三级,3
层,三级,3
差,三级,3
超市,三级,3
衬衫,三级,3
成绩,三级,3
城市,三级,3
迟到,三级,3
除了,三级,3
船,三级,3
春,三级,3
词典,三级,3
聪明,三级,3
打扫,三级,3
打算,三级,3
带,三级,3
担心,三级,3
蛋糕,三级,3
当然,三级,3
地,三级,3
灯,三级,3
地方,三级,3
地铁,三级,3
地图,三级,3
电梯,三级,3
电子邮件,三级,3
东,三级,3
冬,三级,3
动物,三级,3
短,三级,3
段,三级,3
锻炼,三级,3
多么,三级,3
饿,三级,3
耳朵,三级,3
发,三级,3
发烧,三级,3
发现,三级,3
方便,三级,3
放,三级,3
放心,三级,3
分,三级,3
附近,三级,3
复习,三级,3
干净,三级,3
感冒,三级,3
感兴趣,三级,3
刚才,三级,3
个子,三级,3
根据,三级,3
跟,三级,3
更,三级,3
公斤,三级,3
公园,三级,3
故事,三级,3
刮风,三级,3
关,三级,3
关系,三级,3
关心,三级,3
关于,三级,3
国家,三级,3
过,三级,3
过去,三级,3
还是,三级,3
害怕,三级,3
黑板,三级,3
后来,三级,3
护照,三级,3
花,三级,3
花,三级,3
画,三级,3
坏,三级,3
欢迎,三级,3
还,三级,3
环境,三级,3
换,三级,3
黄河,三级,3
回答,三级,3
会议,三级,3
或者,三级,3
几乎,三级,3
机会,三级,3
极,三级,3
记得,三级,3
季节,三级,3
检查,三级,3
简单,三级,3
见面,三级,3
健康,三级,3
讲,三级,3
教,三级,3
角,三级,3
脚,三级,3
接,三级,3
街道,三级,3
节目,三级,3
节日,三级,3
结婚,三级,3
结束,三级,3
解决,三级,3
借,三级,3
经常,三级,3
经过,三级,3
经理,三级,3
久,三级,3
旧,三级,3
句子,三级,3
决定,三级,3
可爱,三级,3
渴,三级,3
刻,三级,3
客人,三级,3
空调,三级,3
口,三级,3
哭,三级,3
裤子,三级,3
筷子,三级,3
蓝,三级,3
